video_id,ru_id,ru_name,reply_time,reply_content,rm_positive,rn_comment
b_p41L9U3hQ,UCj8Nc28xyJBvLWHc1_Ty3uw,Tiffany Canna Sanota,2021-12-08 03:52:11,"Thank you so much for this, Jenn! 💖 I'm wondering if you have plans on writting a book? 😊",0,0
b_p41L9U3hQ,UClj1FinQVqbDsweyNVkQLGA,Liv Nasuta,2021-12-08 03:49:50,love you so much Jenn! You've helped me in so many ways ❤️ I'm so glad you exist 🥰,0,0
b_p41L9U3hQ,UChDCAxUmNHeZSrMLGCJYTnw,Drashti Patel,2021-12-08 03:47:41,I don’t understand why my partner is thinking he’s wasting time on me when I give him the world.,0,0
b_p41L9U3hQ,UCyHfudRe8lT3JMkEB1hv7ug,Razelle Zabala,2021-12-08 03:31:26,"this is the best and most informative video i have ever seen. this has changed my life. thank you jenn, i love you",0,0
b_p41L9U3hQ,UC2w_-Jpn7uhMVztC4Vxzrug,coveena,2021-12-08 03:15:11,jenn is so articulate! thank you for sharing these with us :),0,0
b_p41L9U3hQ,UCEIT_I11yC-L2oQMA8UuReQ,momo,2021-12-08 03:02:01,"i hardly ever leave comments on youtube but jenn, thank you for being my internet big sister and for being open about mental health. this year had taken a toll on me and i’m so glad that you exist to share your perspectives on life. listening to you speak is like having sunshine in the dark of the night 💫",0,0
b_p41L9U3hQ,UC_SgfaGAj6Gzq_4lm43t0Jg,Adaezejeso Ezeaku,2021-12-08 02:40:14,Thank you Jenn! This was super helpful ^-^,0,0
b_p41L9U3hQ,UCf1r3wtVe1kOgydsX6rvDpg,Mailee Vyne,2021-12-08 02:39:10,I hate it when people define their relationship with how long they've  known a person. It doesn't mean anything when it's nonexistent today. What you mean to each other in the present.,0,0
b_p41L9U3hQ,UC9H9p7E1AjiAv-HLZ55Ut3A,Sonu Limbu,2021-12-08 02:37:47,Awww You're my fav sis 🥂💓,0,0
b_p41L9U3hQ,UCyyMrEfj_cP83COsOMNhd6Q,Lizzy Bradley,2021-12-08 02:33:55,thanks Jen 💖 going through a difficult but new and exciting season of life right now and this was comforting!,0,0
b_p41L9U3hQ,UChicV9wBX_4cdPFC_Y7L6eA,Rebecca Truong,2021-12-08 02:18:36,"Love you Jenn! Thank you for being so honest on this motherhood journey you're on. And love the last bit of advice on not comparing yourself to others, never thought of it that way! <3",0,0
b_p41L9U3hQ,UCaDV0wg28ZMs16gGuUmAB9A,Dewy Stories_이슬의 이야기,2021-12-08 02:16:17,Please make this a weekly/monthly thing if you can! It would be such an amazing addition to your channel! Love your insights!,0,0
b_p41L9U3hQ,UCKnpz5Q7ixWBqClRcQ2jISQ,Adhisree Sharma,2021-12-08 02:06:29,Loved the necklace ❤️,0,0
b_p41L9U3hQ,UClOLvdkA4Pkq4DnxBKOqkEQ,Gyneth Rock,2021-12-08 01:50:57,"All these answers were so well put together. I really enjoyed the way you talked about them. Great perspective to look at things. Also great reminders for us all too! Even though it is called Girl Talk, I totally think these can apply to anyone in general too. Really like videos like this!",0,0
b_p41L9U3hQ,UCA-OxzfSrDisan9WUXP4Q6w,Silk Wave,2021-12-08 01:50:20,"Betterhelp is unethical, look into their data collection and how they treat therapists",0,0
b_p41L9U3hQ,UCkirkC9nAXYi4wHRJO5DLgQ,Valerie Tan,2021-12-08 01:48:52,Please do more of these Jenn! Really enjoy you talking about real stuff ☺️💞,0,0
b_p41L9U3hQ,UC9w9A23_wwuaacm2Z7RLIKw,Christina Kim,2021-12-08 01:43:06,This is what I needed :) thank you!,0,0
b_p41L9U3hQ,UClKMzr-eGlRejn7u0Deum5w,Meidyanti Nurul,2021-12-08 01:40:21,"woow this video is very insightful for so many people! and yea as someone who married, I completely agree with you! Marriage can look so scary, but actually it's wonderful when you marry the right one! Everything just getting better and better 😄",0,0
